NOM_CD,quarter,SEXO,insecurity_score,insecurity_level,cluster
MEXICALI,2025_Q1,2,1.6363636363636365,High,1
MEXICALI,2025_Q1,1,1.0,Low,2
MEXICALI,2025_Q1,2,1.1666666666666667,Low,1
MEXICALI,2025_Q1,1,1.6666666666666667,High,0
MEXICALI,2025_Q1,2,1.5454545454545454,Medium,1
MEXICALI,2025_Q1,1,1.1,Low,2
MEXICALI,2025_Q1,1,1.1818181818181819,Low,2
MEXICALI,2025_Q1,1,1.0833333333333333,Low,2
MEXICALI,2025_Q1,2,1.2727272727272727,Medium,1
MEXICALI,2025_Q1,2,1.1666666666666667,Low,
MEXICALI,2025_Q1,1,1.0833333333333333,Low,0
MEXICALI,2025_Q1,2,1.8,High,1
MEXICALI,2025_Q1,1,1.9,High,0
MEXICALI,2025_Q1,1,1.8181818181818181,High,0
MEXICALI,2025_Q1,1,1.7142857142857142,High,
MEXICALI,2025_Q1,2,1.6,High,1
MEXICALI,2025_Q1,1,1.2727272727272727,Medium,0
MEXICALI,2025_Q1,2,1.9166666666666667,High,1
MEXICALI,2025_Q1,2,1.3,Medium,2
MEXICALI,2025_Q1,1,2.0,High,1
MEXICALI,2025_Q1,1,1.7272727272727273,High,1
MEXICALI,2025_Q1,2,1.0,Low,2
MEXICALI,2025_Q1,1,2.0,High,1
MEXICALI,2025_Q1,2,1.0,Low,2
MEXICALI,2025_Q1,2,1.8888888888888888,High,1
MEXICALI,2025_Q1,1,2.0,High,1
MEXICALI,2025_Q1,1,1.2222222222222223,Low,2
MEXICALI,2025_Q1,2,1.4,Medium,2
MEXICALI,2025_Q1,2,1.9166666666666667,High,0
MEXICALI,2025_Q1,2,1.1666666666666667,Low,2
MEXICALI,2025_Q1,2,1.8333333333333333,High,0
MEXICALI,2025_Q1,2,1.6,High,0
MEXICALI,2025_Q1,2,1.6363636363636365,High,1
MEXICALI,2025_Q1,2,2.0,High,0
MEXICALI,2025_Q1,2,1.7272727272727273,High,1
MEXICALI,2025_Q1,2,1.6363636363636365,High,1
MEXICALI,2025_Q1,1,1.0,Low,2
MEXICALI,2025_Q1,2,1.3636363636363635,Medium,2
MEXICALI,2025_Q1,2,1.0833333333333333,Low,2
MEXICALI,2025_Q1,1,1.0833333333333333,Low,2
MEXICALI,2025_Q1,2,1.1111111111111112,Low,1
MEXICALI,2025_Q1,2,1.0833333333333333,Low,2
MEXICALI,2025_Q1,2,1.75,High,
MEXICALI,2025_Q1,1,1.1,Low,2
MEXICALI,2025_Q1,2,1.9166666666666667,High,1
MEXICALI,2025_Q1,1,1.2727272727272727,Medium,2
MEXICALI,2025_Q1,2,1.75,High,0
MEXICALI,2025_Q1,1,2.0,High,1
MEXICALI,2025_Q1,2,1.3636363636363635,Medium,1
MEXICALI,2025_Q1,2,1.9166666666666667,High,0
MEXICALI,2025_Q1,2,2.0,High,0
MEXICALI,2025_Q1,2,1.4166666666666667,Medium,2
MEXICALI,2025_Q1,2,1.1111111111111112,Low,2
MEXICALI,2025_Q1,1,1.0,Low,2
MEXICALI,2025_Q1,1,2.0,High,0
MEXICALI,2025_Q1,2,1.0,Low,2
MEXICALI,2025_Q1,2,1.2727272727272727,Medium,2
MEXICALI,2025_Q1,2,1.0,Low,2
MEXICALI,2025_Q1,2,1.875,High,1
MEXICALI,2025_Q1,2,1.1818181818181819,Low,2
MEXICALI,2025_Q1,2,1.3636363636363635,Medium,2
MEXICALI,2025_Q1,2,2.0,High,0
MEXICALI,2025_Q1,2,1.7777777777777777,High,0
MEXICALI,2025_Q1,2,1.1818181818181819,Low,2
MEXICALI,2025_Q1,2,2.0,High,0
MEXICALI,2025_Q1,2,1.9090909090909092,High,1
MEXICALI,2025_Q1,2,1.9,High,0
MEXICALI,2025_Q1,2,1.7272727272727273,High,1
MEXICALI,2025_Q1,2,1.5,Medium,1
MEXICALI,2025_Q1,1,1.8181818181818181,High,0
MEXICALI,2025_Q1,2,1.8333333333333333,High,1
MEXICALI,2025_Q1,1,1.5,Medium,1
MEXICALI,2025_Q1,2,1.4166666666666667,Medium,0
MEXICALI,2025_Q1,1,1.1666666666666667,Low,2
MEXICALI,2025_Q1,2,1.3333333333333333,Medium,0
MEXICALI,2025_Q1,2,1.2,Low,2
MEXICALI,2025_Q1,1,1.0,Low,2
MEXICALI,2025_Q1,1,1.75,High,0
MEXICALI,2025_Q1,1,1.5,Medium,0
MEXICALI,2025_Q1,1,1.8,High,0
MEXICALI,2025_Q1,1,1.2,Low,2
MEXICALI,2025_Q1,2,1.7,High,1
MEXICALI,2025_Q1,2,1.5454545454545454,Medium,0
MEXICALI,2025_Q1,1,1.0,Low,2
MEXICALI,2025_Q1,1,1.0,Low,2
MEXICALI,2025_Q1,1,1.1666666666666667,Low,0
MEXICALI,2025_Q1,1,1.1666666666666667,Low,2
MEXICALI,2025_Q1,2,1.5555555555555556,Medium,1
MEXICALI,2025_Q1,1,1.1111111111111112,Low,2
MEXICALI,2025_Q1,1,1.3636363636363635,Medium,1
MEXICALI,2025_Q1,1,1.1111111111111112,Low,2
MEXICALI,2025_Q1,1,1.4545454545454546,Medium,1
MEXICALI,2025_Q1,2,1.2,Low,2
MEXICALI,2025_Q1,2,1.5555555555555556,Medium,2
MEXICALI,2025_Q1,1,1.7,High,0
MEXICALI,2025_Q1,1,1.0,Low,2
MEXICALI,2025_Q1,1,1.1,Low,2
MEXICALI,2025_Q1,1,1.75,High,0
MEXICALI,2025_Q1,2,1.3,Medium,2
MEXICALI,2025_Q1,2,1.4444444444444444,Medium,2
MEXICALI,2025_Q1,1,1.1111111111111112,Low,2
MEXICALI,2025_Q1,2,2.0,High,0
MEXICALI,2025_Q1,1,1.5,Medium,1
MEXICALI,2025_Q1,1,1.9,High,0
MEXICALI,2025_Q1,1,1.9,High,0
MEXICALI,2025_Q1,2,1.375,Medium,2
MEXICALI,2025_Q1,1,1.0,Low,2
MEXICALI,2025_Q1,1,1.4166666666666667,Medium,1
MEXICALI,2025_Q1,2,1.8571428571428572,High,0
MEXICALI,2025_Q1,1,1.7272727272727273,High,1
MEXICALI,2025_Q1,2,2.0,High,0
MEXICALI,2025_Q1,2,1.0,Low,2
MEXICALI,2025_Q1,2,1.9,High,0
TIJUANA,2025_Q1,2,1.2222222222222223,Low,2
TIJUANA,2025_Q1,1,1.8,High,1
TIJUANA,2025_Q1,2,1.1111111111111112,Low,2
